claim,source_file,documentation,supporting_test,supporting_artifact,independent_audit_method,status
execution_causality,src/experiments/Backtester.cpp,docs/METHODOLOGY.md,quant_regression_tests,audit/final/audit_claim_inventory.csv,next-open pending-order flow and fixture,verified
cost_accounting,src/execution/ExecutionHandler.cpp,docs/METHODOLOGY.md,quant_regression_tests,audit/final/audit_claim_inventory.csv,single commission/slippage application,verified
cash_and_long_only,src/portfolio/Portfolio.cpp,docs/METHODOLOGY.md,quant_regression_tests,audit/final/audit_claim_inventory.csv,affordability and invalid-sell fixtures,verified
benchmark_parity,src/experiments/Backtester.cpp,docs/METHODOLOGY.md,methodology_tests,audit/final/audit_claim_inventory.csv,cost/timing parity fixtures,verified
walk_forward_causality,src/experiments/Analysis.cpp,docs/METHODOLOGY.md,methodology_tests,audit/final/audit_claim_inventory.csv,calendar boundaries and frozen parameters,verified
continuous_oos_capital,src/experiments/SelectionRisk.cpp,docs/STATISTICAL_METHODOLOGY.md,selection_risk_tests,audit/final/audit_claim_inventory.csv,separate deployable history,verified
candidate_diagnostic_separation,src/experiments/SelectionRisk.cpp,docs/STATISTICAL_METHODOLOGY.md,selection_risk_tests,audit/final/audit_claim_inventory.csv,normalized counterfactual labels,verified
common_date_alignment,src/experiments/SelectionRisk.cpp,docs/STATISTICAL_METHODOLOGY.md,selection_risk_tests,audit/final/audit_claim_inventory.csv,strict intersection and duplicate rejection,verified
union_calendar,src/portfolio/UnionPortfolioBacktester.cpp,docs/MARKET_CALENDAR.md,union_portfolio_tests,audit/final/audit_claim_inventory.csv,tradability separated from marks,verified
corporate_actions,src/market_data/CorporateAction.cpp,docs/CORPORATE_ACTIONS.md,corporate_action_tests,audit/final/audit_claim_inventory.csv,split/dividend and double-count fixtures,verified
attribution_reconciliation,src/analytics/PortfolioAttribution.cpp,docs/ATTRIBUTION.md,attribution_tests,audit/final/audit_claim_inventory.csv,independent Python identity validator,verified
moving_block_bootstrap,src/analytics/StatisticalAnalysis.cpp,docs/STATISTICAL_METHODOLOGY.md,statistical_tests,audit/final/audit_claim_inventory.csv,circular block/path-length fixtures,verified
reality_check_formula,src/analytics/StatisticalAnalysis.cpp,docs/STATISTICAL_METHODOLOGY.md,selection_risk_tests,audit/final/audit_claim_inventory.csv,centered max mean and +1 correction,verified
grid_wide_selection_risk,src/experiments/SelectionRisk.cpp,docs/STATISTICAL_METHODOLOGY.md,selection_risk_tests,audit/final/audit_claim_inventory.csv,family and combined panels,verified
ma_candidate_grid,src/strategies/Strategy.cpp,docs/STATISTICAL_METHODOLOGY.md,selection_risk_tests,audit/final/audit_claim_inventory.csv,16 MA candidates per ticker; 80 combined definitions,verified
rsi_candidate_grid,src/strategies/Strategy.cpp,docs/STATISTICAL_METHODOLOGY.md,selection_risk_tests,audit/final/audit_claim_inventory.csv,12 RSI candidates per ticker; 60 combined definitions,verified
macd_candidate_grid,src/strategies/Strategy.cpp,docs/STATISTICAL_METHODOLOGY.md,selection_risk_tests,audit/final/audit_claim_inventory.csv,4 MACD candidates per ticker; 20 combined definitions,verified
volatility_candidate_grid,src/strategies/Strategy.cpp,docs/STATISTICAL_METHODOLOGY.md,selection_risk_tests,audit/final/audit_claim_inventory.csv,9 breakout candidates per ticker; 45 combined definitions,verified
candidate_retention,src/experiments/SelectionRisk.cpp,docs/STATISTICAL_METHODOLOGY.md,selection_risk_tests,audit/final/audit_claim_inventory.csv,"205 definitions and 1,025 candidate-window rows retained",verified
one_selection_per_family_window,src/experiments/SelectionRisk.cpp,docs/STATISTICAL_METHODOLOGY.md,selection_risk_tests,audit/final/audit_claim_inventory.csv,100 selected rows; maximum key multiplicity one,verified
deployable_date_uniqueness,src/experiments/SelectionRisk.cpp,docs/STATISTICAL_METHODOLOGY.md,selection_risk_tests,audit/final/audit_claim_inventory.csv,"13,548 rows with no duplicate ticker/family/date keys",verified
regime_causality,src/methodology/ResearchMethodology.cpp,docs/METHODOLOGY.md,methodology_tests,audit/final/audit_claim_inventory.csv,execution uses strictly prior regime; return interval uses start cutoff,verified
boundary_liquidation_costs,src/experiments/Backtester.cpp,docs/METHODOLOGY.md,methodology_tests,audit/final/audit_claim_inventory.csv,end-close liquidation applies execution costs and is exported separately,verified
stale_marks_not_tradable,src/portfolio/UnionPortfolioBacktester.cpp,docs/MARKET_CALENDAR.md,union_portfolio_tests,audit/final/audit_claim_inventory.csv,valuation marks are distinct from tradability,verified
parallel_determinism,include/quant/performance/DeterministicExecutor.h,docs/PERFORMANCE.md,performance_tests,audit/final/audit_claim_inventory.csv,indexed collection and TSan,verified
performance_speedup,scripts/benchmark_performance.py,docs/PERFORMANCE.md,performance artifact validator,audit/final/audit_claim_inventory.csv,machine-specific repeated measurements; external profiler unavailable,partially_verified
manifest_reconstruction,scripts/reproduce.py,docs/REPRODUCIBILITY.md,reproducibility_integration_tests,audit/final/audit_claim_inventory.csv,clean local and Linux suite reconstruction,verified
input_provenance,manifests/*.json,docs/REPRODUCIBILITY.md,reproducibility_tests,audit/final/audit_claim_inventory.csv,hashes exact; original acquisition/corporate-action provenance incomplete,partially_verified
cross_platform_financial_outputs,manifests/*.json,docs/REPRODUCIBILITY.md,remote reconstruction,audit/final/audit_claim_inventory.csv,zero-tolerance deterministic artifacts,verified
cross_platform_stochastic_conclusions,scripts/reproducibility.py,docs/REPRODUCIBILITY.md,audit threshold fixture,audit/final/threshold_stability.csv,tolerances overlap release thresholds,contradicted
release_readiness,audit/final/release_blockers.md,README.md,final_audit_tests,audit/final/threshold_stability.csv,platform-stable RNG migration required,contradicted
