rebalance_id,date,ticker,side,quantity,price,transaction_cost,slippage_cost
0,2020-01-03,AAPL,BUY,263,74.324642,19.547381,9.768806
0,2020-01-03,MSFT,BUY,123,158.399167,19.483098,9.736680
0,2020-01-03,SPY,BUY,60,321.320584,19.279235,9.634800
0,2020-01-03,TSLA,BUY,666,29.381350,19.567979,9.779100
0,2020-01-03,BTC-USD,BUY,2,6987.920925,13.975842,6.984429
1,2020-02-03,TSLA,SELL,155,44.890210,6.957983,3.480732
1,2020-02-03,AAPL,BUY,38,76.113034,2.892295,1.445425
1,2020-02-03,MSFT,BUY,11,170.515208,1.875667,0.937365
1,2020-02-03,SPY,BUY,10,323.511681,3.235117,1.616750
2,2020-03-02,TSLA,SELL,45,47.393623,2.132713,1.066890
2,2020-03-02,AAPL,BUY,11,70.605285,0.776658,0.388135
2,2020-03-02,SPY,BUY,4,298.359096,1.193436,0.596420
3,2020-04-01,AAPL,SELL,13,61.594188,0.800724,0.400562
3,2020-04-01,MSFT,SELL,13,152.923500,1.988006,0.994500
3,2020-04-01,TSLA,BUY,80,33.616798,2.689344,1.344000
4,2020-05-01,TSLA,SELL,94,50.308165,4.728968,2.365667
4,2020-05-01,AAPL,BUY,18,71.598281,1.288769,0.644062
4,2020-05-01,MSFT,BUY,8,175.887903,1.407103,0.703200
4,2020-05-01,SPY,BUY,5,285.452653,1.427263,0.713275
5,2020-06-01,AAPL,SELL,7,79.397781,0.555784,0.278031
5,2020-06-01,TSLA,SELL,22,57.171401,1.257771,0.629200
5,2020-06-01,MSFT,BUY,5,182.631263,0.913156,0.456350
5,2020-06-01,SPY,BUY,1,303.771805,0.303772,0.151810
6,2020-07-01,AAPL,SELL,13,91.234359,1.186047,0.593320
6,2020-07-01,TSLA,SELL,55,72.163897,3.969014,1.985500
6,2020-07-01,SPY,BUY,7,309.724792,2.168074,1.083495
7,2020-08-03,AAPL,SELL,9,108.145897,0.973313,0.486900
7,2020-08-03,TSLA,SELL,52,96.565028,5.021381,2.511947
7,2020-08-03,MSFT,BUY,13,211.625764,2.751135,1.374880
7,2020-08-03,SPY,BUY,7,328.484167,2.299389,1.149120
8,2020-09-01,AAPL,SELL,1,132.693615,0.132694,0.066380
8,2020-09-01,TSLA,SELL,95,167.296315,15.893150,7.950550
8,2020-09-01,MSFT,BUY,21,225.622750,4.738078,2.367855
8,2020-09-01,SPY,BUY,14,350.385096,4.905391,2.451470
8,2020-09-01,BTC-USD,BUY,1,11685.156064,11.685156,5.839658
9,2020-10-01,MSFT,SELL,3,213.383260,0.640150,0.320235
9,2020-10-01,SPY,SELL,4,337.521157,1.350085,0.675380
9,2020-10-01,AAPL,BUY,11,117.698819,1.294687,0.647020
9,2020-10-01,TSLA,BUY,10,146.993458,1.469935,0.734600
10,2020-11-02,AAPL,BUY,17,109.164556,1.855797,0.927435
10,2020-11-02,MSFT,BUY,4,204.392138,0.817569,0.408580
10,2020-11-02,SPY,BUY,1,330.365112,0.330365,0.165100
10,2020-11-02,TSLA,BUY,21,131.398995,2.759379,1.379000
11,2020-12-01,TSLA,SELL,38,199.097072,7.565689,3.784737
11,2020-12-01,AAPL,BUY,20,121.070507,2.421410,1.210100
11,2020-12-01,MSFT,BUY,15,214.617250,3.219259,1.608825
11,2020-12-01,SPY,BUY,6,365.752792,2.194517,1.096710
12,2021-01-04,BTC-USD,SELL,1,32794.543744,32.794544,16.405475
12,2021-01-04,AAPL,BUY,64,133.586764,8.549553,4.272640
12,2021-01-04,MSFT,BUY,53,222.641264,11.799987,5.897045
12,2021-01-04,SPY,BUY,29,375.497653,10.889432,5.441995
12,2021-01-04,TSLA,BUY,5,239.939917,1.199700,0.599550
13,2021-02-01,TSLA,SELL,16,271.294278,4.340708,2.171440
13,2021-02-01,AAPL,BUY,14,133.816875,1.873436,0.936250
13,2021-02-01,MSFT,BUY,2,235.177528,0.470355,0.235060
13,2021-02-01,SPY,BUY,6,373.906861,2.243441,1.121160
17,2021-06-01,MSFT,SELL,11,251.104381,2.762148,1.381765
17,2021-06-01,SPY,SELL,10,422.358722,4.223587,2.112850
17,2021-06-01,AAPL,BUY,16,125.142542,2.002281,1.000640
17,2021-06-01,TSLA,BUY,24,209.371296,5.024911,2.511200
18,2021-07-01,MSFT,SELL,8,269.475180,2.155801,1.078440
18,2021-07-01,AAPL,BUY,1,136.668306,0.136668,0.068300
18,2021-07-01,TSLA,BUY,8,228.087314,1.824699,0.911893
22,2021-11-01,TSLA,SELL,28,381.475823,10.681323,5.343333
22,2021-11-01,AAPL,BUY,28,149.064500,4.173806,2.085860
22,2021-11-01,MSFT,BUY,6,331.525665,1.989154,0.994080
22,2021-11-01,SPY,BUY,10,460.530138,4.605301,2.301500
23,2021-12-01,TSLA,SELL,2,386.706544,0.773413,0.386900
23,2021-12-01,AAPL,BUY,1,167.563736,0.167564,0.083740
23,2021-12-01,SPY,BUY,1,461.870835,0.461871,0.230820
24,2022-01-03,AAPL,SELL,14,177.741087,2.488375,1.244810
24,2022-01-03,TSLA,SELL,5,382.392052,1.911960,0.956458
24,2022-01-03,MSFT,BUY,3,335.517681,1.006553,0.503025
24,2022-01-03,SPY,BUY,7,476.538138,3.335767,1.667050
25,2022-02-01,AAPL,SELL,39,173.922990,6.782997,3.393195
25,2022-02-01,MSFT,SELL,1,310.254799,0.310255,0.155205
25,2022-02-01,SPY,BUY,2,450.905333,0.901811,0.450680
25,2022-02-01,TSLA,BUY,19,311.892532,5.925958,2.961498
26,2022-03-01,AAPL,BUY,1,164.782347,0.164782,0.082350
27,2022-04-01,TSLA,SELL,16,360.203140,5.763250,2.883067
27,2022-04-01,AAPL,BUY,11,174.117014,1.915287,0.957165
27,2022-04-01,MSFT,BUY,6,309.524680,1.857148,0.928110
27,2022-04-01,SPY,BUY,4,453.536653,1.814147,0.906620
28,2022-05-02,TSLA,BUY,2,287.066802,0.574134,0.286923
29,2022-06-01,AAPL,SELL,11,149.825044,1.648075,0.824450
29,2022-06-01,MSFT,SELL,12,275.062412,3.300749,1.651200
29,2022-06-01,SPY,SELL,13,414.962428,5.394512,2.698605
29,2022-06-01,TSLA,BUY,29,251.845861,7.303530,3.649940
30,2022-07-01,AAPL,SELL,25,135.971973,3.399299,1.700500
30,2022-07-01,MSFT,SELL,19,256.261820,4.868975,2.435705
30,2022-07-01,SPY,SELL,9,376.371718,3.387345,1.694520
30,2022-07-01,TSLA,SELL,12,226.886500,2.722638,1.362000
31,2022-08-01,AAPL,SELL,7,160.929490,1.126506,0.563535
31,2022-08-01,TSLA,SELL,28,301.126034,8.431529,4.217873
31,2022-08-01,MSFT,BUY,13,277.958917,3.613466,1.805830
31,2022-08-01,SPY,BUY,9,409.354569,3.684191,1.841175
32,2022-09-01,AAPL,SELL,15,156.561679,2.348425,1.174800
32,2022-09-01,SPY,SELL,3,392.693570,1.178081,0.589335
32,2022-09-01,MSFT,BUY,1,258.999430,0.258999,0.129435
32,2022-09-01,TSLA,BUY,5,272.716277,1.363581,0.681450
33,2022-10-03,TSLA,SELL,1,254.372750,0.254373,0.127250
33,2022-10-03,AAPL,BUY,15,138.279112,2.074187,1.036575
33,2022-10-03,MSFT,BUY,3,235.527709,0.706583,0.353115
34,2022-11-01,AAPL,SELL,28,155.002462,4.340069,2.171120
34,2022-11-01,SPY,SELL,6,389.944945,2.339670,1.170420
34,2022-11-01,MSFT,BUY,8,234.717306,1.877738,0.938400
34,2022-11-01,TSLA,BUY,24,234.167028,5.620009,2.808600
35,2022-12-01,MSFT,SELL,24,253.743060,6.089833,3.046440
35,2022-12-01,SPY,SELL,11,408.565604,4.494222,2.248235
35,2022-12-01,AAPL,BUY,1,148.284112,0.148284,0.074105
35,2022-12-01,TSLA,BUY,32,197.178542,6.309713,3.153280
35,2022-12-01,BTC-USD,BUY,1,17176.585954,17.176586,8.584001
36,2023-01-03,AAPL,SELL,2,130.214859,0.260430,0.130280
36,2023-01-03,MSFT,SELL,18,242.958462,4.373252,2.187720
36,2023-01-03,SPY,SELL,9,384.177810,3.457600,1.729665
36,2023-01-03,TSLA,BUY,111,118.529236,13.156745,6.575085
37,2023-02-01,TSLA,SELL,58,173.803054,10.080577,5.042810
37,2023-02-01,AAPL,BUY,16,144.041986,2.304672,1.151760
37,2023-02-01,MSFT,BUY,17,248.124000,4.218108,2.108000
37,2023-02-01,SPY,BUY,8,405.412596,3.243301,1.620840
38,2023-03-01,TSLA,SELL,39,206.106902,8.038169,4.021095
38,2023-03-01,AAPL,BUY,12,146.903417,1.762841,0.880980
38,2023-03-01,MSFT,BUY,12,250.885375,3.010624,1.504560
38,2023-03-01,SPY,BUY,8,395.607709,3.164862,1.581640
39,2023-04-03,TSLA,BUY,1,200.009959,0.200010,0.099955
40,2023-05-01,AAPL,SELL,5,169.195359,0.845977,0.423200
40,2023-05-01,MSFT,SELL,11,306.816516,3.374982,1.688335
40,2023-05-01,SPY,BUY,2,415.677736,0.831355,0.415470
40,2023-05-01,TSLA,BUY,20,163.251583,3.265032,1.631700
41,2023-06-01,AAPL,SELL,3,177.611147,0.532833,0.266550
41,2023-06-01,MSFT,SELL,4,325.767028,1.303068,0.651860
41,2023-06-01,SPY,BUY,3,418.299041,1.254897,0.627135
41,2023-06-01,TSLA,BUY,4,202.691291,0.810765,0.405180
42,2023-07-03,TSLA,SELL,33,276.351745,9.119608,4.562085
42,2023-07-03,AAPL,BUY,6,193.876889,1.163261,0.581340
42,2023-07-03,MSFT,BUY,7,339.359597,2.375517,1.187165
42,2023-07-03,SPY,BUY,12,443.141473,5.317698,2.657520
43,2023-08-01,AAPL,SELL,1,196.141885,0.196142,0.098120
44,2023-09-01,AAPL,SELL,4,189.395260,0.757581,0.378980
44,2023-09-01,MSFT,BUY,1,331.475653,0.331476,0.165655
44,2023-09-01,SPY,BUY,1,453.396598,0.453397,0.226585
44,2023-09-01,TSLA,BUY,1,257.388640,0.257389,0.128630
46,2023-11-01,MSFT,SELL,2,339.620114,0.679240,0.339790
46,2023-11-01,AAPL,BUY,1,171.085500,0.171086,0.085500
46,2023-11-01,TSLA,BUY,2,204.142013,0.408284,0.204040
47,2023-12-01,MSFT,SELL,1,376.571630,0.376572,0.188380
47,2023-12-01,AAPL,BUY,1,190.425167,0.190425,0.095165
47,2023-12-01,TSLA,BUY,1,233.256569,0.233257,0.116570
48,2024-01-02,BTC-USD,SELL,1,44165.047055,44.165047,22.093570
48,2024-01-02,AAPL,BUY,68,187.243569,12.732563,6.363100
48,2024-01-02,MSFT,BUY,14,374.046915,5.236657,2.617020
48,2024-01-02,SPY,BUY,21,472.396084,9.920318,4.957680
48,2024-01-02,TSLA,BUY,56,250.205042,14.011482,7.002240
49,2024-02-01,AAPL,SELL,9,183.898010,1.655082,0.827955
49,2024-02-01,MSFT,SELL,23,401.629072,9.237469,4.621045
49,2024-02-01,SPY,SELL,10,484.387690,4.843877,2.423150
49,2024-02-01,TSLA,BUY,90,188.594250,16.973482,8.482500
50,2024-03-01,AAPL,BUY,2,179.639778,0.359280,0.179550
51,2024-04-01,AAPL,BUY,1,171.275597,0.171276,0.085595
51,2024-04-01,TSLA,BUY,1,176.258083,0.176258,0.088085
52,2024-05-01,AAPL,BUY,1,169.664792,0.169665,0.084790
53,2024-06-03,TSLA,BUY,1,178.219070,0.178219,0.089065
56,2024-09-03,AAPL,SELL,19,228.435728,4.340279,2.171225
56,2024-09-03,MSFT,BUY,7,418.118959,2.926833,1.462685
56,2024-09-03,SPY,BUY,1,560.750206,0.560750,0.280235
56,2024-09-03,TSLA,BUY,4,215.367625,0.861470,0.430520
57,2024-10-01,TSLA,SELL,39,262.538678,10.239008,5.122065
57,2024-10-01,AAPL,BUY,10,229.634764,2.296348,1.147600
57,2024-10-01,MSFT,BUY,12,428.664237,5.143971,2.570700
57,2024-10-01,SPY,BUY,4,573.686724,2.294747,1.146800
59,2024-12-02,TSLA,SELL,37,352.203815,13.031541,6.519030
59,2024-12-02,AAPL,BUY,16,237.388639,3.798218,1.898160
59,2024-12-02,MSFT,BUY,13,421.780792,5.483150,2.740205
59,2024-12-02,SPY,BUY,6,603.271456,3.619629,1.808910
60,2025-01-02,TSLA,SELL,28,389.904956,10.917339,5.461400
60,2025-01-02,AAPL,BUY,10,249.054458,2.490545,1.244650
60,2025-01-02,MSFT,BUY,11,425.742764,4.683170,2.340415
60,2025-01-02,SPY,BUY,6,589.684710,3.538108,1.768170
61,2025-02-03,AAPL,BUY,1,230.105000,0.230105,0.114995
63,2025-04-01,TSLA,BUY,1,263.931888,0.263932,0.131900
65,2025-06-02,AAPL,BUY,1,200.380139,0.200380,0.100140
70,2025-11-03,TSLA,SELL,3,455.761995,1.367286,0.683985
70,2025-11-03,AAPL,BUY,2,270.555223,0.541110,0.270420
71,2025-12-01,TSLA,SELL,2,425.107347,0.850215,0.425320
71,2025-12-01,AAPL,BUY,1,278.149015,0.278149,0.139005
71,2025-12-01,MSFT,BUY,1,488.684222,0.488684,0.244220
