schema_version,window_mode,ticker,strategy,window_id,selected_parameters,objective_value,in_sample_sharpe,in_sample_return
2,calendar_duration,AAPL,MACD_Momentum,0,fast=12;slow=26;signal=9,0.967691,0.967691,0.701489
2,calendar_duration,AAPL,MACD_Momentum,1,fast=12;slow=26;signal=9,0.870664,0.870664,0.554265
2,calendar_duration,AAPL,MACD_Momentum,2,fast=12;slow=26;signal=9,0.815992,0.815992,0.428705
2,calendar_duration,AAPL,MACD_Momentum,3,fast=20;slow=40;signal=10,0.685659,0.685659,0.360795
2,calendar_duration,AAPL,MACD_Momentum,4,fast=16;slow=32;signal=9,0.613528,0.613528,0.301905
2,calendar_duration,MSFT,MACD_Momentum,0,fast=8;slow=21;signal=5,0.009036,0.009036,-0.051394
2,calendar_duration,MSFT,MACD_Momentum,1,fast=8;slow=21;signal=5,-0.046867,-0.046867,-0.074671
2,calendar_duration,MSFT,MACD_Momentum,2,fast=8;slow=21;signal=5,0.115623,0.115623,0.013306
2,calendar_duration,MSFT,MACD_Momentum,3,fast=8;slow=21;signal=5,-0.038606,-0.038606,-0.068176
2,calendar_duration,MSFT,MACD_Momentum,4,fast=8;slow=21;signal=5,-0.090154,-0.090154,-0.096939
2,calendar_duration,SPY,MACD_Momentum,0,fast=20;slow=40;signal=10,0.653233,0.653233,0.253620
2,calendar_duration,SPY,MACD_Momentum,1,fast=12;slow=26;signal=9,0.325026,0.325026,0.096761
2,calendar_duration,SPY,MACD_Momentum,2,fast=12;slow=26;signal=9,0.115192,0.115192,0.020012
2,calendar_duration,SPY,MACD_Momentum,3,fast=12;slow=26;signal=9,0.307294,0.307294,0.085910
2,calendar_duration,SPY,MACD_Momentum,4,fast=12;slow=26;signal=9,0.341469,0.341469,0.098112
2,calendar_duration,TSLA,MACD_Momentum,0,fast=20;slow=40;signal=10,1.141410,1.141410,2.310002
2,calendar_duration,TSLA,MACD_Momentum,1,fast=8;slow=21;signal=5,1.245011,1.245011,2.505972
2,calendar_duration,TSLA,MACD_Momentum,2,fast=8;slow=21;signal=5,1.114705,1.114705,1.768610
2,calendar_duration,TSLA,MACD_Momentum,3,fast=8;slow=21;signal=5,1.096154,1.096154,1.776577
2,calendar_duration,TSLA,MACD_Momentum,4,fast=8;slow=21;signal=5,1.190005,1.190005,2.203870
2,calendar_duration,BTC-USD,MACD_Momentum,0,fast=12;slow=26;signal=9,0.845486,0.845486,1.847090
2,calendar_duration,BTC-USD,MACD_Momentum,1,fast=12;slow=26;signal=9,0.950885,0.950885,2.232379
2,calendar_duration,BTC-USD,MACD_Momentum,2,fast=12;slow=26;signal=9,0.390859,0.390859,0.354476
2,calendar_duration,BTC-USD,MACD_Momentum,3,fast=12;slow=26;signal=9,0.676334,0.676334,0.801278
2,calendar_duration,BTC-USD,MACD_Momentum,4,fast=8;slow=21;signal=5,0.447778,0.447778,0.395434
