ticker,strategy,parameter_set,estimated_break_even_all_in_bps,method
AAPL,MA_Cross,short=20;long=50,179.396757,linear_cost_grid_interpolation
AAPL,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,69.482650,linear_cost_grid_interpolation
AAPL,MACD_Momentum,fast=12;slow=26;signal=9,54.010041,linear_cost_grid_interpolation
MSFT,MA_Cross,short=20;long=50,106.076670,linear_cost_grid_interpolation
MSFT,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,152.240161,linear_cost_grid_interpolation
MSFT,MACD_Momentum,fast=12;slow=26;signal=9,1.228166,linear_cost_grid_interpolation
SPY,MA_Cross,short=20;long=50,154.435716,linear_cost_grid_interpolation
SPY,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,80.158501,linear_cost_grid_interpolation
SPY,MACD_Momentum,fast=12;slow=26;signal=9,27.435728,linear_cost_grid_interpolation
TSLA,MA_Cross,short=20;long=50,271.753446,linear_cost_grid_interpolation
TSLA,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,109.119892,linear_cost_grid_interpolation
TSLA,MACD_Momentum,fast=12;slow=26;signal=9,90.193697,linear_cost_grid_interpolation
BTC-USD,MA_Cross,short=20;long=50,183.246635,linear_cost_grid_interpolation
BTC-USD,RSI_Mean_Reversion,period=14;oversold=30;overbought=70,not_estimated,zero_or_negative_zero_cost_return
BTC-USD,MACD_Momentum,fast=12;slow=26;signal=9,74.204606,linear_cost_grid_interpolation
